% event from 2007-01-30 00:00-01:20 Cluster-4 burst, Ey-SW frame
%  f [Hz]          power [(mV/m)^2/Hz]   
   3.8970691e+01   7.2548227e-06
   3.9026284e+01   7.7349792e-06
   3.9081877e+01   7.0215012e-06
   3.9137470e+01   7.2262298e-06
   3.9193063e+01   6.8193505e-06
   3.9248656e+01   7.0363227e-06
   3.9304249e+01   6.8963948e-06
   3.9359842e+01   6.4466291e-06
   3.9415435e+01   6.0763997e-06
   3.9471028e+01   7.3024362e-06
   3.9526621e+01   8.0356602e-06
   3.9582214e+01   7.8782868e-06
   3.9637807e+01   7.2831260e-06
   3.9693400e+01   7.9164259e-06
   3.9748993e+01   2.0071210e-05
   3.9804586e+01   1.3975158e-05
   3.9860179e+01   6.4264003e-06
   3.9915772e+01   6.3519450e-06
   3.9971365e+01   6.3645807e-06
   4.0026958e+01   6.6361638e-06
   4.0082551e+01   7.4797664e-06
   4.0138144e+01   7.9429085e-06
